band_number,year,Nestbox,color,date,Species,Sex,blood_num,Age,life_stage,attempt,attempt_id,weight,wing,tail,skull,bill,tarsus,gweight,gwing,gtail,gskull,gbill,gtarsus,pweight,pwing,ptail,pskull,pbill,ptarsus,occasion,ind_id,brood_size,age,blood_num_mother,site,habitat,interval,juliandate,canopy_cover,meanmaxtempI,maxmaxtempI,cumulativeover40I,meanmaxtempO,maxmaxtempO,cumulativeover40O,meanh,meanmaxh,meanminh,meanmintempI,minmintempI,meanmintempO,minmintempO,cort_s1_mother,cort_s2_mother,cort_s1,cort_s2
NA,2021,MBNR2,Pink,2021-05-26,WEBL,U,NA,L,nestling,1,2021_MBNR2_1,26,37,8,29.7,4.2,20,2.257142857142857,3.5714285714285716,1.1428571428571428,1.0999999999999999,0.17142857142857146,1.3285714285714287,0.03161264505802321,0.04251700680272109,Inf,0.007142857142857143,0.008163265306122451,0.017737936296013734,2,2941-18440,5,11,NA,MB,Row crop,2021-05-18 17:00:00 PDT--2021-05-25 17:00:00 PDT,146,20.346000000000004,30.172375,35.6,0,33.505874999999996,39.59,1.3333333333333335,39.653333333333336,63.765875,18.4705625,14.22875,8.8475,12.178812500000001,7.29,NA,NA,NA,NA
2941-18440,2021,MBNR2,Pink,2021-05-31,WEBL,F,NA,L,nestling,1,2021_MBNR2_1,25.7,60,26,31.9,5.5,20.3,-0.060000000000000143,4.6,3.6,0.43999999999999984,0.25999999999999995,0.060000000000000143,-4.615384615384626e-4,0.024864864864864864,0.09,0.002962962962962962,0.012380952380952378,6.000000000000014e-4,3,2941-18440,5,17,NA,MB,Row crop,2021-05-23 17:00:00 PDT--2021-05-30 17:00:00 PDT,151,20.346000000000004,36.379687499999996,41.726,5.833333333333333,39.985,45.51,13.583333333333334,43.905924479166664,68.582125,19.4290625,16.9375,14.8,14.091125,12.14,NA,NA,NA,NA
NA,2021,MBNR2,Yellow,2021-05-19,WEBL,U,NA,L,nestling,1,2021_MBNR2_1,9.9,10,0,21,2.2,11.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2941-18436,5,4,NA,MB,Row crop,2021-05-11 17:00:00 PDT--2021-05-18 17:00:00 PDT,139,20.346000000000004,30.58325,36.8185,0,35.4309375,42.5685,2.6666666666666665,46.69532118055555,69.9734375,23.144,12.7954375,11.62,11.8215,11.268,NA,NA,NA,NA
NA,2021,MBNR2,Yellow,2021-05-26,WEBL,U,NA,L,nestling,1,2021_MBNR2_1,23.2,35,6,29.2,4.6,19.8,1.9,3.5714285714285716,0.8571428571428571,1.1714285714285713,0.3428571428571428,1.1714285714285715,0.027417027417027416,0.05102040816326531,Inf,0.007968901846452865,0.022263450834879402,0.014426460239268121,2,2941-18436,5,11,NA,MB,Row crop,2021-05-18 17:00:00 PDT--2021-05-25 17:00:00 PDT,146,20.346000000000004,30.172375,35.6,0,33.505874999999996,39.59,1.3333333333333335,39.653333333333336,63.765875,18.4705625,14.22875,8.8475,12.178812500000001,7.29,NA,NA,NA,NA
2941-18436,2021,MBNR2,Yellow,2021-05-31,WEBL,M,NA,L,nestling,1,2021_MBNR2_1,22.8,61,27,30.9,5.2,20.2,-0.07999999999999971,5.2,4.2,0.33999999999999986,0.1200000000000001,0.07999999999999971,-6.896551724137907e-4,0.029714285714285714,0.14,0.0023287671232876703,0.005217391304347832,8.080808080808052e-4,3,2941-18436,5,17,NA,MB,Row crop,2021-05-23 17:00:00 PDT--2021-05-30 17:00:00 PDT,151,20.346000000000004,36.379687499999996,41.726,5.833333333333333,39.985,45.51,13.583333333333334,43.905924479166664,68.582125,19.4290625,16.9375,14.8,14.091125,12.14,NA,NA,NA,NA
NA,2021,MBNR5,Green,2021-05-19,TRES,U,NA,L,nestling,1,2021_MBNR5_1,3,7,0,13.8,1.8,5.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2631-20681,5,1,NA,MB,Row crop,2021-05-11 17:00:00 PDT--2021-05-18 17:00:00 PDT,139,13.134,30.3671875,37.064499999999995,0,36.5505,43.826,4.333333333333334,46.69532118055555,69.9734375,23.144,11.955125,11.164,11.670375,10.94,NA,NA,NA,NA
NA,2021,MBNR5,Green,2021-05-26,TRES,U,NA,L,nestling,1,2021_MBNR5_1,18.1,33,5,22.9,3.9,11.8,2.1571428571428575,3.7142857142857144,0.7142857142857143,1.2999999999999996,0.29999999999999993,0.9571428571428573,0.10272108843537417,0.07580174927113703,Inf,0.013457556935817799,0.023809523809523805,0.026810724289715895,2,2631-20681,5,8,NA,MB,Row crop,2021-05-18 17:00:00 PDT--2021-05-25 17:00:00 PDT,146,13.134,29.5701875,35.675999999999995,0,34.270125,40.9525,4,39.653333333333336,63.765875,18.4705625,12.669437499999999,7.33,11.821562499999999,7.0215,NA,NA,NA,NA
2631-20681,2021,MBNR5,Green,2021-05-31,TRES,U,NA,L,nestling,1,2021_MBNR5_1,17.1,62,24,24.7,4.4,12.4,-0.2,5.8,3.8,0.36000000000000015,0.10000000000000009,0.11999999999999993,-0.002209944751381215,0.03515151515151515,0.152,0.0031441048034934515,0.0051282051282051325,0.002033898305084744,3,2631-20681,5,13,NA,MB,Row crop,2021-05-23 17:00:00 PDT--2021-05-30 17:00:00 PDT,151,13.134,36.460375,42.196,6.916666666666666,40.9641875,46.24,18.333333333333336,43.905924479166664,68.582125,19.4290625,15.1701875,13.054,13.7875625,11.807500000000001,NA,NA,NA,NA
NA,2021,PICG3,Pink,2021-05-07,TRES,U,NA,L,nestling,1,2021_PICG3_1,4.5,10,0,15.1,2.2,6.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2631-20642,5,3,NA,PG,Grassland,2021-04-29 17:00:00 PDT--2021-05-06 17:00:00 PDT,127,0,36.80775,41.855999999999995,7,36.957875,41.14,7.25,43.1358203125,72.2713125,17.9510625,11.720125,9.01,11.2828125,8.608,NA,NA,NA,NA
NA,2021,PICG3,Pink,2021-05-14,TRES,U,NA,L,nestling,1,2021_PICG3_1,19.7,40,9,24.6,4.4,12.7,2.1714285714285713,4.285714285714286,1.2857142857142858,1.3571428571428574,0.31428571428571433,0.8285714285714284,0.06893424036281179,0.061224489795918366,Inf,0.012839572915258822,0.020408163265306124,0.017154687962141375,2,2631-20642,5,11,NA,PG,Grassland,2021-05-06 17:00:00 PDT--2021-05-13 17:00:00 PDT,134,0,38.265375,42.85,13.166666666666666,38.0131875,42.13,13.916666666666666,35.73879340277778,57.7435,17.14025,13.33025,9.2775,12.5863125,8.6775,NA,NA,NA,NA
