band_number,year,Nestbox,color,date,Species,Sex,blood_num,Age,life_stage,attempt,attempt_id,weight,wing,tail,skull,bill,tarsus,gweight,gwing,gtail,gskull,gbill,gtarsus,pweight,pwing,ptail,pskull,pbill,ptarsus,occasion,ind_id,brood_size,age,blood_num_mother,site,habitat,interval,juliandate,canopy_cover,meanmaxtempI,maxmaxtempI,cumulativeover40I,meanmaxtempO,maxmaxtempO,cumulativeover40O,meanh,meanmaxh,meanminh,meanmintempI,minmintempI,meanmintempO,minmintempO,cort_s1_mother,cort_s2_mother,cort_s1,cort_s2
NA,2022,PICG2,Blue,2022-05-05,TRES,U,NA,L,nestling,1,2022_PICG2_1,9.4,15,0,18.5,3.4,11.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2881-65821,5,6,NA,PG,Grassland,2022-04-27 17:00:00 PDT--2022-05-04 17:00:00 PDT,125,15.134,NA,-Inf,0,31.375,38,0,51.96160590277778,79.8780625,26.674625,NA,Inf,8.5,6,NA,NA,NA,NA
2881-65821,2022,PICG2,Blue,2022-05-12,TRES,U,B200,L,nestling,1,2022_PICG2_1,15.6,43,12,22.5,3.8,12.8,0.8857142857142856,4,1.7142857142857142,0.5714285714285714,0.05714285714285713,0.2285714285714288,0.013460703430308292,0.03809523809523809,Inf,0.004412575841147269,0.002400960384153661,0.0029154518950437343,2,2881-65821,5,13,NA,PG,Grassland,2022-05-04 17:00:00 PDT--2022-05-11 17:00:00 PDT,132,15.134,NA,-Inf,0,26.706249999999997,30,0,56.961488715277774,82.8790625,32.1088125,NA,Inf,7,2,NA,NA,3494.5,63815
NA,2022,PICG2,Blue,2022-05-24,WEBL,U,NA,L,nestling,1,2022_PICG2_1,18.8,28,2,29.1,4.2,18.9,0.2666666666666668,-1.25,-0.8333333333333334,0.5500000000000002,0.03333333333333336,0.5083333333333332,0.0014245014245014252,-0.0024224806201550387,-0.005787037037037038,0.0020370370370370377,7.309941520467843e-4,0.003309461805555554,3,2881-65821,5,9,NA,PG,Grassland,2022-05-16 17:00:00 PDT--2022-05-23 17:00:00 PDT,144,15.134,NA,-Inf,0,37.45625,40,3.8333333333333335,38.143328993055555,64.95174999999999,16.5360625,NA,Inf,12.79375,9,NA,NA,NA,NA
NA,2022,PICG2,Purple,2022-05-05,TRES,U,NA,L,nestling,1,2022_PICG2_1,10.1,16,0,19.2,2.8,10.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2881-65823,5,6,NA,PG,Grassland,2022-04-27 17:00:00 PDT--2022-05-04 17:00:00 PDT,125,15.134,NA,-Inf,0,31.375,38,0,51.96160590277778,79.8780625,26.674625,NA,Inf,8.5,6,NA,NA,NA,NA
2881-65823,2022,PICG2,Purple,2022-05-12,TRES,U,B202,L,nestling,1,2022_PICG2_1,14.4,43,11,23.1,4.1,13,0.6142857142857144,3.857142857142857,1.5714285714285714,0.5571428571428575,0.1857142857142857,0.3428571428571429,0.008688623964437262,0.034438775510204085,Inf,0.004145408163265309,0.009475218658892127,0.004620716211012709,2,2881-65823,5,13,NA,PG,Grassland,2022-05-04 17:00:00 PDT--2022-05-11 17:00:00 PDT,132,15.134,NA,-Inf,0,26.706249999999997,30,0,56.961488715277774,82.8790625,32.1088125,NA,Inf,7,2,NA,NA,17975,NA
NA,2022,PICG2,Purple,2022-05-24,WEBL,U,B131,L,nestling,1,2022_PICG2_1,21.6,30,4,29.3,5.1,20.5,0.6000000000000001,-1.0833333333333333,-0.5833333333333334,0.5166666666666666,0.08333333333333333,0.625,0.0034722222222222225,-0.002099483204134367,-0.004419191919191919,0.0018638768638768635,0.0016937669376693766,0.004006410256410257,3,2881-65823,5,9,NA,PG,Grassland,2022-05-16 17:00:00 PDT--2022-05-23 17:00:00 PDT,144,15.134,NA,-Inf,0,37.45625,40,3.8333333333333335,38.143328993055555,64.95174999999999,16.5360625,NA,Inf,12.79375,9,NA,NA,3207,7728
