Comments,Date,Start Time,End Time,Observer(s),Site,Nestbox,Species,Adult(s),Nest,Eggs,Nestlings,Notes
,2022-06-14T00:00:00Z,0:10,0:30,"PG, CP",BRO,BRO1,WEBL,1 WEBL calling near,"-	",-,-,Didn't hear nestlings
,2022-03-21T00:00:00Z,3:13,5:00,"KL, CL, EL, IS",FBFC,FBFC01,-,-,"-	",-,-,"one leaf in the box, spidery"
,2022-03-31T00:00:00Z,1:10,1:30,KG YW,FBFC,FBFC01,-,-,"-	",-,-,-
,2022-04-05T00:00:00Z,2:00,2:30,KG CP,FBFC,FBFC01,-,-,"-	",-,-,
,2022-04-14T00:00:00Z,0:15,0:45,KG WY,FBFC,FBFC01,-,-,"-	",-,-,Empty
,2022-04-21T00:00:00Z,4:10,4:40,"KL, KG",FBFC,FBFC01,-,-,"-	",-,-,
,2022-06-17T00:00:00Z,,,KL MM,FBFC,FBFC01,ATFL,-,"4	",4W,-,-
,2022-06-23T00:00:00Z,,,KG VW WY MZ,FBFC,FBFC01,ATFL,-,"4	",-,5,-
,2022-07-03T00:00:00Z,,,KG AT,FBFC,FBFC01,ATFL!,2 near,"4/fur	",-,4,big babies! skip next week
,2022-07-07T00:00:00Z,,,KG PGG MZ WY,FBFC,FBFC01,ATFL!,-,"-	",-,-,skipped this week
,2022-07-14T00:00:00Z,,,KG YW,FBFC,FBFC01,ATFL!,2 near,"-	",-,-,skipped this week
,2022-03-21T00:00:00Z,3:13,5:00,"KL, CL, EL, IS",FBFC,FBFC02,WEBL,-,"1	",-,-,1 stick
,2022-03-31T00:00:00Z,1:10,1:30,KG YW,FBFC,FBFC02,-,-,"-	",-,-,-
,2022-04-05T00:00:00Z,2:00,2:30,KG CP,FBFC,FBFC02,-,-,"-	",-,-,
,2022-04-14T00:00:00Z,0:15,0:45,KG WY,FBFC,FBFC02,-,-,"-	",-,-,Empty
,2022-04-21T00:00:00Z,4:10,4:40,"KL, KG",FBFC,FBFC02,-,-,"-	",-,-,
,2022-06-17T00:00:00Z,,,KL MM,FBFC,FBFC02,-,-,"-	",-,-,-
,2022-06-23T00:00:00Z,,,KG VW WY MZ,FBFC,FBFC02,-,-,"-	",-,-,-
,2022-07-03T00:00:00Z,,,KG AT,FBFC,FBFC02,-,-,"-	",-,-,skipped this week
,2022-07-07T00:00:00Z,,,KG PGG MZ WY,FBFC,FBFC02,-,-,"-	",-,-,-
,2022-07-14T00:00:00Z,,,KG YW,FBFC,FBFC02,-,-,"-	",-,-,-
,2022-03-21T00:00:00Z,3:13,5:00,"KL, CL, EL, IS",FBFC,FBFC03,-,-,"-	",-,-,
,2022-03-31T00:00:00Z,1:10,1:30,KG YW,FBFC,FBFC03,-,-,"-	",-,-,-
,2022-04-05T00:00:00Z,2:00,2:30,KG CP,FBFC,FBFC03,-,-,"-	",-,-,
,2022-04-14T00:00:00Z,0:15,0:45,KG WY,FBFC,FBFC03,-,-,"-	",-,-,Empty
,2022-04-21T00:00:00Z,4:10,4:40,"KL, KG",FBFC,FBFC03,-,-,"-	",-,-,
,2022-06-17T00:00:00Z,,,KL MM,FBFC,FBFC03,HOWR,-,"4	",-,3,"WC: 9,9,10,7"
,2022-06-23T00:00:00Z,,,KG VW WY MZ,FBFC,FBFC03,HOWR,1 near,"4	",-,3,eager to JUMP out! skip
,2022-07-03T00:00:00Z,,,KG AT,FBFC,FBFC03,-,-,"-	",-,-,skipped this week
,2022-07-07T00:00:00Z,,,KG PGG MZ WY,FBFC,FBFC03,HOWR,-,"4	",-,-,fledged
,2022-07-14T00:00:00Z,,,KG YW,FBFC,FBFC03,HOWR,-,"4	",-,-,-
,2022-03-21T00:00:00Z,3:13,5:00,"KL, CL, EL, IS",FBFC,FBFC04,-,-,"-	",-,-,
,2022-03-31T00:00:00Z,1:10,1:30,KG YW,FBFC,FBFC04,-,-,"-	",-,-,-
,2022-04-05T00:00:00Z,2:00,2:30,KG CP,FBFC,FBFC04,-,-,"-	",-,-,
,2022-04-14T00:00:00Z,0:15,0:45,KG WY,FBFC,FBFC04,-,-,"-	",-,-,Empty
,2022-04-21T00:00:00Z,4:10,4:40,"KL, KG",FBFC,FBFC04,-,-,"-	",-,-,
,2022-06-17T00:00:00Z,,,KL MM,FBFC,FBFC04,-,-,"-	",-,-,-
,2022-06-23T00:00:00Z,,,KG VW WY MZ,FBFC,FBFC04,-,-,"-	",-,-,-
,2022-07-03T00:00:00Z,,,KG AT,FBFC,FBFC04,-,-,"-	",-,-,skipped this week
,2022-07-07T00:00:00Z,,,KG PGG MZ WY,FBFC,FBFC04,-,-,"-	",-,-,-
,2022-07-14T00:00:00Z,,,KG YW,FBFC,FBFC04,-,-,"-	",-,-,-
,2022-03-21T00:00:00Z,3:13,5:00,"KL, CL, EL, IS",FBFC,FBFC05,-,-,"-	",-,-,
,2022-03-31T00:00:00Z,1:10,1:30,KG YW,FBFC,FBFC05,-,-,"-	",-,-,-
,2022-04-05T00:00:00Z,2:00,2:30,KG CP,FBFC,FBFC05,-,-,"-	",-,-,
,2022-04-14T00:00:00Z,0:15,0:45,KG WY,FBFC,FBFC05,-,-,"-	",-,-,Empty
,2022-04-21T00:00:00Z,4:10,4:40,"KL, KG",FBFC,FBFC05,-,-,"-	",-,-,
,2022-06-17T00:00:00Z,,,KL MM,FBFC,FBFC05,ATFL,-,"4	",3C,-,-
,2022-06-23T00:00:00Z,,,KG VW WY MZ,FBFC,FBFC05,ATFL,-,"4	",3A,-,-
,2022-07-03T00:00:00Z,,,KG AT,FBFC,FBFC05,-,-,"-	",-,-,skipped this week
,2022-07-07T00:00:00Z,,,KG PGG MZ WY,FBFC,FBFC05,ATFL,-,"-	",3C,-,abandoned
,2022-07-14T00:00:00Z,,,KG YW,FBFC,FBFC05,ATFL,-,"-	",3C,-,abandoned
,2022-03-21T00:00:00Z,3:13,5:00,"KL, CL, EL, IS",FBFC,FBFC06,-,-,"-	",-,-,
,2022-03-31T00:00:00Z,1:10,1:30,KG YW,FBFC,FBFC06,-,-,"-	",-,-,-
,2022-04-05T00:00:00Z,2:00,2:30,KG CP,FBFC,FBFC06,-,-,"-	",-,-,
,2022-04-14T00:00:00Z,0:15,0:45,KG WY,FBFC,FBFC06,-,-,"-	",-,-,Empty
,2022-04-21T00:00:00Z,4:10,4:40,"KL, KG",FBFC,FBFC06,-,-,"-	",-,-,
,2022-06-17T00:00:00Z,,,KL MM,FBFC,FBFC06,-,-,"-	",-,-,-
,2022-06-23T00:00:00Z,,,KG VW WY MZ,FBFC,FBFC06,-,-,"-	",-,-,-
,2022-07-03T00:00:00Z,,,KG AT,FBFC,FBFC06,-,-,"-	",-,-,skipped this week
,2022-07-07T00:00:00Z,,,KG PGG MZ WY,FBFC,FBFC06,-,-,"-	",-,-,-
,2022-07-14T00:00:00Z,,,KG YW,FBFC,FBFC06,-,-,"-	",-,-,-
,2022-03-21T00:00:00Z,3:13,5:00,"KL, CL, EL, IS",FBFC,FBFC07,HOSP?,-,"2	",-,-,left nest - check next week
,2022-03-31T00:00:00Z,1:10,1:30,KG YW,FBFC,FBFC07,HOWR,-,"3	",-,-,-
,2022-04-05T00:00:00Z,2:00,2:30,KG CP,FBFC,FBFC07,HOWR,-,"3	",-,-,
,2022-04-14T00:00:00Z,0:15,0:45,KG WY,FBFC,FBFC07,HOWR,-,"3	",-,-,
,2022-04-21T00:00:00Z,4:35,4:49,KG KL,FBFC,FBFC07,-,-,"-	",-,-,-
,2022-04-21T00:00:00Z,4:10,4:40,"KL, KG",FBFC,FBFC07,HOWR,-,"3	",-,-,
,2022-06-17T00:00:00Z,,,KL MM,FBFC,FBFC07,HOWR,-,"4	",4C,-,-
,2022-06-23T00:00:00Z,,,KG VW WY MZ,FBFC,FBFC07,HOWR,-,"-	",-,3,small nestlings
,2022-07-03T00:00:00Z,,,KG AT,FBFC,FBFC07,-,-,"-	",-,-,skipped this week
,2022-07-07T00:00:00Z,,,KG PGG MZ WY,FBFC,FBFC07,HOWR,1 in,"4	",-,Some,"potenital panic fledge, closed box ASAP"
,2022-07-14T00:00:00Z,,,KG YW,FBFC,FBFC07,HOWR,-,"-	",-,-,-
,2022-03-21T00:00:00Z,3:13,5:00,"KL, CL, EL, IS",FBFC,FBFC08,-,-,"-	",-,-,
,2022-03-31T00:00:00Z,1:10,1:30,KG YW,FBFC,FBFC08,HOWR,1 in,"3	",-,-,-
,2022-04-05T00:00:00Z,2:00,2:30,KG CP,FBFC,FBFC08,HOWR,1 near,"4	",-,-,
,2022-04-14T00:00:00Z,0:15,0:45,KG WY,FBFC,FBFC08,HOWR,1,"4	",5C,-,
,2022-06-17T00:00:00Z,,,KL MM,FBFC,FBFC08,HOWR,-,"4	",-,-,NEST removed
,2022-06-23T00:00:00Z,,,KG VW WY MZ,FBFC,FBFC08,-,-,"-	",-,-,-
,2022-07-03T00:00:00Z,,,KG AT,FBFC,FBFC08,-,-,"-	",-,-,skipped this week
,2022-07-07T00:00:00Z,,,KG PGG MZ WY,FBFC,FBFC08,-,-,"-	",-,-,-
,2022-07-14T00:00:00Z,,,KG YW,FBFC,FBFC08,-,-,"-	",-,-,skipped this week
,2022-03-21T00:00:00Z,3:13,5:00,"KL, CL, EL, IS",FBFC,FBFC09,-,-,"-	",-,-,
,2022-03-31T00:00:00Z,1:10,1:30,KG YW,FBFC,FBFC09,-,-,"-	",-,-,-
,2022-04-05T00:00:00Z,2:00,2:30,KG CP,FBFC,FBFC09,-,-,"-	",-,-,
,2022-04-14T00:00:00Z,0:15,0:45,KG WY,FBFC,FBFC09,-,-,"-	",-,-,-
,2022-04-21T00:00:00Z,4:10,4:30,KG KL,FBFC,FBFC09,-,-,"-	",-,-,empty
,2022-06-17T00:00:00Z,,,KL MM,FBFC,FBFC09,HOWR,-,"1	",-,-,-
,2022-06-23T00:00:00Z,,,KG VW WY MZ,FBFC,FBFC09,HOWR,-,"1	",-,-,-
,2022-07-03T00:00:00Z,,,KG AT,FBFC,FBFC09,-,-,"-	",-,-,skipped this week
,2022-07-07T00:00:00Z,,,KG PGG MZ WY,FBFC,FBFC09,-,-,"-	",-,-,-
,2022-07-14T00:00:00Z,,,KG YW,FBFC,FBFC09,-,-,"-	",-,-,-
,2022-03-21T00:00:00Z,3:13,5:00,"KL, CL, EL, IS",FBFC,FBFC10,-,-,"-	",-,-,evidence of mammal chew
,2022-03-31T00:00:00Z,1:10,1:30,KG YW,FBFC,FBFC10,-,-,"-	",-,-,-
,2022-04-05T00:00:00Z,2:00,2:30,KG CP,FBFC,FBFC10,-,-,"-	",-,-,1 leaf
,2022-04-14T00:00:00Z,0:15,0:45,KG WY,FBFC,FBFC10,-,-,"-	",-,-,Looks like something is eating the wood
,2022-04-21T00:00:00Z,4:10,4:30,KG KL,FBFC,FBFC10,-,-,"-	",-,-,empty
,2022-06-17T00:00:00Z,,,KL MM,FBFC,FBFC10,?,?,"?	",?,?,Short nest with leaves and dry hay
,2022-06-23T00:00:00Z,,,KG VW WY MZ,FBFC,FBFC10,?,?,"?	",?,?,super weird dry and thick leaves
,2022-07-03T00:00:00Z,,,KG AT,FBFC,FBFC10,-,-,"-	",-,-,skipped this week
,2022-07-07T00:00:00Z,,,KG PGG MZ WY,FBFC,FBFC10,?,-,"-	",-,-,werid leaf nest
,2022-07-14T00:00:00Z,,,KG YW,FBFC,FBFC10,?,-,"-	",-,-,werid leaf nest
,2022-03-21T00:00:00Z,3:13,5:00,"KL, CL, EL, IS",FBFG,FBFG01,-,-,"-	",-,-,bent rebar
,2022-03-31T00:00:00Z,0:15,1:00,RS,FBFG,FBFG01,-,-,"-	",-,-,Red winged blackbird on top!
,2022-04-05T00:00:00Z,0:10,0:30,KG CP,FBFG,FBFG01,-,-,"-	",-,-,wasps nest removed
,2022-04-14T00:00:00Z,1:45,2:20,KG WY,FBFG,FBFG01,-,-,"-	",-,-,
,2022-04-21T00:00:00Z,2:15,2:30,KL,FBFG,FBFG01,-,-,"-	",-,-,
,2022-06-17T00:00:00Z,,,KL MM,FBFG,FBFG01,TRES,-,"4/4	",-,-,probable fledged nest
,2022-03-21T00:00:00Z,3:13,5:00,"KL, CL, EL, IS",FBFG,FBFG02,-,-,"-	",-,-,
,2022-03-31T00:00:00Z,0:15,1:00,RS,FBFG,FBFG02,-,-,"-	",-,-,
,2022-04-05T00:00:00Z,0:10,0:30,KG CP,FBFG,FBFG02,-,-,"-	",-,-,wasps nest removed
,2022-04-14T00:00:00Z,1:45,2:20,KG WY,FBFG,FBFG02,-,-,"-	",-,-,
,2022-04-21T00:00:00Z,2:15,2:30,KL,FBFG,FBFG02,-,-,"-	",-,-,
,2022-06-17T00:00:00Z,,,KL MM,FBFG,FBFG02,ATFL,-,"4	",2C,-,-
,2022-03-21T00:00:00Z,3:13,5:00,"KL, CL, EL, IS",FBFG,FBFG03,-,-,"-	",-,-,
,2022-03-31T00:00:00Z,0:15,1:00,RS,FBFG,FBFG03,-,-,"-	",-,-,
,2022-04-05T00:00:00Z,0:10,0:30,KG CP,FBFG,FBFG03,-,-,"-	",-,-,wasps nest removed
,2022-04-14T00:00:00Z,1:45,2:20,KG WY,FBFG,FBFG03,-,-,"-	",-,-,
,2022-04-21T00:00:00Z,2:15,2:30,KL,FBFG,FBFG03,-,-,"-	",-,-,
,2022-06-17T00:00:00Z,,,KL MM,FBFG,FBFG03,ATFL,-,"1	",-,-,-
,2022-03-21T00:00:00Z,3:13,5:00,"KL, CL, EL, IS",FBFG,FBFG04,-,-,"-	",-,-,
,2022-03-31T00:00:00Z,0:15,1:00,RS,FBFG,FBFG04,-,-,"-	",-,-,
,2022-04-05T00:00:00Z,0:10,0:30,KG CP,FBFG,FBFG04,-,-,"-	",-,-,rebar needs to be re-hammered
,2022-04-14T00:00:00Z,1:45,2:20,KG WY,FBFG,FBFG04,-,-,"-	",-,-,on the ground totally broken
,2022-06-17T00:00:00Z,,,KL MM,FBFG,FBFG04,gone broken,-,"-	",-,-,broken box i believe
,2022-03-21T00:00:00Z,3:13,5:00,"KL, CL, EL, IS",FBFG,FBFG05,-,-,"-	",-,-,
,2022-03-31T00:00:00Z,0:15,1:00,RS,FBFG,FBFG05,-,-,"-	",-,-,
,2022-04-05T00:00:00Z,0:10,0:30,KG CP,FBFG,FBFG05,-,-,"-	",-,-,
,2022-04-14T00:00:00Z,1:45,2:20,KG WY,FBFG,FBFG05,-,-,"-	",-,-,
,2022-04-21T00:00:00Z,2:15,2:30,KL,FBFG,FBFG05,-,-,"-	",-,-,
,2022-06-17T00:00:00Z,,,KL MM,FBFG,FBFG05,ATFL,-,"1	",-,-,-
,2022-03-21T00:00:00Z,3:13,5:00,"KL, CL, EL, IS",FBFG,FBFG06,-,-,"-	",-,-,
,2022-03-31T00:00:00Z,0:15,1:00,RS,FBFG,FBFG06,-,-,"-	",-,-,
,2022-04-05T00:00:00Z,0:10,0:30,KG CP,FBFG,FBFG06,-,-,"-	",-,-,Humidity logger added
,2022-04-14T00:00:00Z,1:45,2:20,KG WY,FBFG,FBFG06,-,-,"-	",-,-,stuck could not open
,2022-04-21T00:00:00Z,2:15,2:30,KL,FBFG,FBFG06,-,-,"-	",-,-,
,2022-06-17T00:00:00Z,,,KL MM,FBFG,FBFG06,-,-,"-	",-,-,
,2022-03-21T00:00:00Z,3:13,5:00,"KL, CL, EL, IS",FBFG,FBFG07,-,-,"-	",-,-,
,2022-03-31T00:00:00Z,0:15,1:00,RS,FBFG,FBFG07,-,-,"-	",-,-,
,2022-04-05T00:00:00Z,0:10,0:30,KG CP,FBFG,FBFG07,-,-,"-	",-,-,
,2022-04-14T00:00:00Z,1:45,2:20,KG WY,FBFG,FBFG07,-,-,"-	",-,-,
,2022-04-21T00:00:00Z,2:10,2:30,KG KL,FBFG,FBFG07,-,-,"-	",-,-,-
,2022-06-17T00:00:00Z,,,KL MM,FBFG,FBFG07,-,-,"-	",-,-,
,2022-03-21T00:00:00Z,3:13,5:00,"KL, CL, EL, IS",FBFG,FBFG08,-,-,"-	",-,-,bent rebar
,2022-03-31T00:00:00Z,0:15,1:00,RS,FBFG,FBFG08,-,-,"-	",-,-,
,2022-04-05T00:00:00Z,0:10,0:30,KG CP,FBFG,FBFG08,-,-,"-	",-,-,
,2022-04-14T00:00:00Z,1:45,2:20,KG WY,FBFG,FBFG08,-,-,"-	",-,-,
,2022-04-21T00:00:00Z,2:10,2:30,KG KL,FBFG,FBFG08,-,-,"-	",-,-,-
,2022-06-17T00:00:00Z,,,KL MM,FBFG,FBFG08,-,-,"-	",-,-,-
,2022-03-21T00:00:00Z,3:13,5:00,"KL, CL, EL, IS",FBFG,FBFG09,TRES,-,"1/1	",-,-,feather and grass
,2022-03-31T00:00:00Z,0:15,1:00,RS,FBFG,FBFG09,-,-,"-	",-,-,
,2022-04-05T00:00:00Z,0:10,0:30,KG CP,FBFG,FBFG09,-,-,"-	",-,-,
,2022-04-14T00:00:00Z,1:45,2:20,KG WY,FBFG,FBFG09,-,-,"-	",-,-,
,2022-04-21T00:00:00Z,2:10,2:30,KG KL,FBFG,FBFG09,-,-,"-	",-,-,-
,2022-06-17T00:00:00Z,,,KL MM,FBFG,FBFG09,-,-,"-	",-,-,-
,2022-06-23T00:00:00Z,,,KG VW WY MZ,FBFG,FBFG1,-,-,"-	",-,-,-
,2022-07-03T00:00:00Z,,,KG AT,FBFG,FBFG1,-,-,"-	",-,-,skipped this week
,2022-07-07T00:00:00Z,,,KG PGG MZ WY,FBFG,FBFG1,-,-,"-	",-,-,-
,2022-07-14T00:00:00Z,,,KG YW,FBFG,FBFG1,-,-,"-	",-,-,empty
,2022-03-21T00:00:00Z,3:13,5:00,"KL, CL, EL, IS",FBFG,FBFG10,-,-,"-	",-,-,
,2022-03-31T00:00:00Z,0:15,1:00,RS,FBFG,FBFG10,-,-,"-	",-,-,
,2022-04-05T00:00:00Z,0:10,0:30,KG CP,FBFG,FBFG10,-,-,"-	",-,-,
,2022-04-14T00:00:00Z,1:45,2:20,KG WY,FBFG,FBFG10,-,-,"-	",-,-,
,2022-04-21T00:00:00Z,2:01,2:30,KG KL,FBFG,FBFG10,TRES,1 in 1 on fence,"4/0	",-,-,-
,2022-06-17T00:00:00Z,,,KL MM,FBFG,FBFG10,TRES,1 near 1 female in,"4/5	",1C,-,-
,2022-06-23T00:00:00Z,,,KG VW WY MZ,FBFG,FBFG10,TRES,1 in,"4/15	",3A,-,loggers added
,2022-07-03T00:00:00Z,,,KG AT,FBFG,FBFG10,TRES,-,"4/5	",3C,-,-
,2022-07-07T00:00:00Z,,,KG PGG MZ WY,FBFG,FBFG10,TRES,-,"4/5	",3C,-,-
,2022-07-14T00:00:00Z,,,"YW, KG",FBFG,FBFG10,TRES,-,"4	",3 C,-,"eggs dead, clean the box"
,2022-06-23T00:00:00Z,,,KG VW WY MZ,FBFG,FBFG2,ATFL,1 near,"4	",3W,-,-
,2022-07-03T00:00:00Z,,,KG AT,FBFG,FBFG2,-,-,"-	",-,-,skipped this week
,2022-07-07T00:00:00Z,,,KG PGG MZ WY,FBFG,FBFG2,ATFL,2 near,"4/ fur	",-,3,WC: 10-12
,2022-07-14T00:00:00Z,,,KG YW,FBFG,FBFG2,ATFL,2 near,"4/ fur	",-,3,-
,2022-06-23T00:00:00Z,,,KG VW WY MZ,FBFG,FBFG3,ATFL?,-,"1	",-,-,-
,2022-07-03T00:00:00Z,,,KG AT,FBFG,FBFG3,-,-,"-	",-,-,skipped this week
,2022-07-07T00:00:00Z,,,KG PGG MZ WY,FBFG,FBFG3,-,-,"-	",-,-,-
,2022-07-14T00:00:00Z,,,"YW, KG",FBFG,FBFG3,-,-,"-	",-,-,-
,2022-06-23T00:00:00Z,,,KG VW WY MZ,FBFG,FBFG4,gone,broken,"-	",-,-,-
,2022-07-03T00:00:00Z,,,KG AT,FBFG,FBFG4,-,-,"-	",-,-,skipped this week
,2022-07-07T00:00:00Z,,,KG PGG MZ WY,FBFG,FBFG4,-,-,"-	",-,-,missing still duh
,2022-07-14T00:00:00Z,,,KG YW,FBFG,FBFG4,-,-,"-	",-,-,empty
,2022-06-23T00:00:00Z,,,KG VW WY MZ,FBFG,FBFG5,ATFL?,-,"1	",-,-,-
,2022-07-03T00:00:00Z,,,KG AT,FBFG,FBFG5,-,-,"-	",-,-,skipped this week
,2022-07-07T00:00:00Z,,,KG PGG MZ WY,FBFG,FBFG5,-,-,"-	",-,-,-
,2022-07-14T00:00:00Z,,,"YW, KG",FBFG,FBFG5,-,-,"-	",-,-,-
,2022-07-14T00:00:00Z,,,KG YW,FBFG,FBFG5,-,-,"-	",-,-,empty
,2022-06-23T00:00:00Z,,,KG VW WY MZ,FBFG,FBFG6,-,-,"-	",-,-,-
,2022-07-03T00:00:00Z,,,KG AT,FBFG,FBFG6,-,-,"-	",-,-,skipped this week
,2022-07-07T00:00:00Z,,,KG PGG MZ WY,FBFG,FBFG6,-,-,"-	",-,-,-
,2022-07-14T00:00:00Z,,,"KG, YW",FBFG,FBFG6,-,-,"-	",-,-,-
,2022-07-14T00:00:00Z,,,KG YW,FBFG,FBFG6,HOSP?,-,"-	",-,-,empty
,2022-06-23T00:00:00Z,,,KG VW WY MZ,FBFG,FBFG7,-,-,"-	",-,-,-
,2022-07-03T00:00:00Z,,,KG AT,FBFG,FBFG7,-,-,"-	",-,-,skipped this week
,2022-07-07T00:00:00Z,,,KG PGG MZ WY,FBFG,FBFG7,-,-,"-	",-,-,-
,2022-07-14T00:00:00Z,,,"KG, YW",FBFG,FBFG7,-,-,"-	",-,-,-
,2022-07-14T00:00:00Z,,,KG YW,FBFG,FBFG7,skipped because broken,-,"-	",-,-,potentially WEBL nest?
,2022-06-23T00:00:00Z,,,KG VW WY MZ,FBFG,FBFG8,-,-,"-	",-,-,-
,2022-07-03T00:00:00Z,,,KG AT,FBFG,FBFG8,-,-,"-	",-,-,skipped this week
,2022-07-07T00:00:00Z,,,KG PGG MZ WY,FBFG,FBFG8,-,-,"-	",-,-,-
,2022-07-14T00:00:00Z,,,KG YW,FBFG,FBFG8,HOSP,1 near,"4/ so weird and tall	",-,-,did not stick hand in
,2022-07-14T00:00:00Z,,,KG YW,FBFG,FBFG8,-,-,"-	",-,-,empty
,2022-06-23T00:00:00Z,,,KG VW WY MZ,FBFG,FBFG9,-,-,"-	",-,-,-
,2022-07-03T00:00:00Z,,,KG AT,FBFG,FBFG9,-,-,"-	",-,-,skipped this week
,2022-07-07T00:00:00Z,,,KG PGG MZ WY,FBFG,FBFG9,-,-,"-	",-,-,-
,2022-07-14T00:00:00Z,,,KG YW,FBFG,FBFG9,-,-,"-	",-,-,empty
,2022-03-21T00:00:00Z,3:13,5:00,"KL, CL, EL, IS",FBFO,FBFO01,WEBL,-,"3	",-,-,
,2022-03-31T00:00:00Z,0:38,1:00,KL VW,FBFO,FBFO01,TRES?,-,"3/2	",-,-,
,2022-04-05T00:00:00Z,1:15,1:50,KG CP,FBFO,FBFO01,WEBL,-,"4	",4W,-,Hobo loggers added!
,2022-04-14T00:00:00Z,1:05,1:45,KG WY,FBFO,FBFO01,WEBL,1 female in,"4	",5W,-,female inside!
,2022-04-21T00:00:00Z,3:19,3:50,KG KL,FBFO,FBFO01,WEBL,1 female in 1 male near,"4	",1,4,"WC: 8,7,9,9–> mother bled twice!"
,2022-06-17T00:00:00Z,,,KL MM,FBFO,FBFO01,WEBL,1 female near,"4	",-,5,"WC: 45, 35, 37, 43, 41"
,2022-06-23T00:00:00Z,,,KG VW WY MZ,FBFO,FBFO01,-,-,"-	",-,-,-
,2022-07-03T00:00:00Z,,,KG AT,FBFO,FBFO01,WEBL,-,"4	",-,-,-
,2022-07-07T00:00:00Z,,,KG PGG MZ WY,FBFO,FBFO01,WEBL,-,"4	",-,-,old nest
,2022-07-14T00:00:00Z,,,KG YW,FBFO,FBFO01,WEBL,-,"4	",-,-,skipped this week
,2022-03-21T00:00:00Z,3:13,5:00,"KL, CL, EL, IS",FBFO,FBFO02,-,-,"-	",-,-,
,2022-03-31T00:00:00Z,0:38,1:00,KL VW,FBFO,FBFO02,-,-,"-	",-,-,
,2022-04-05T00:00:00Z,1:15,1:50,KG CP,FBFO,FBFO02,-,-,"-	",-,-,Humidity logger
,2022-04-14T00:00:00Z,1:05,1:45,KG WY,FBFO,FBFO02,-,-,"-	",-,-,
,2022-04-21T00:00:00Z,3:19,3:50,KG KL,FBFO,FBFO02,-,-,"-	",-,-,-
,2022-06-17T00:00:00Z,,,KL MM,FBFO,FBFO02,HOSP,-,"4	",-,-,nest removed
,2022-06-23T00:00:00Z,,,KG VW WY MZ,FBFO,FBFO02,-,-,"-	",-,-,-
,2022-07-03T00:00:00Z,,,KG AT,FBFO,FBFO02,-,-,"-	",-,-,skipped this week
,2022-07-07T00:00:00Z,,,KG PGG MZ WY,FBFO,FBFO02,-,-,"-	",-,-,-
,2022-07-14T00:00:00Z,,,KG YW,FBFO,FBFO02,-,-,"-	",-,-,skipped this week
,2022-03-21T00:00:00Z,3:13,5:00,"KL, CL, EL, IS",FBFO,FBFO03,-,-,"-	",-,-,
,2022-03-31T00:00:00Z,0:38,1:00,KL VW,FBFO,FBFO03,-,-,"-	",-,-,
,2022-04-05T00:00:00Z,1:15,1:50,KG CP,FBFO,FBFO03,-,-,"-	",-,-,
,2022-04-14T00:00:00Z,1:05,1:45,KG WY,FBFO,FBFO03,-,-,"-	",-,-,
,2022-04-21T00:00:00Z,3:19,3:50,KG KL,FBFO,FBFO03,-,-,"-	",-,-,-
,2022-06-17T00:00:00Z,,,KL MM,FBFO,FBFO03,ATFL,1 female near,"4	",-,4,"WC: 24, 21, 22, 20"
,2022-06-23T00:00:00Z,,,KG VW WY MZ,FBFO,FBFO03,ATFL,2 near,"4	",-,4?,"tried to catch with flap trap for fecal, did not suceed - skip next week"
,2022-07-03T00:00:00Z,,,KG AT,FBFO,FBFO03,-,-,"-	",-,-,skipped this week
,2022-07-07T00:00:00Z,,,KG PGG MZ WY,FBFO,FBFO03,-,-,"-	",-,-,old nest
,2022-07-14T00:00:00Z,,,KG YW,FBFO,FBFO03,-,-,"-	",-,-,skipped this week
,2022-03-21T00:00:00Z,3:13,5:00,"KL, CL, EL, IS",FBFO,FBFO04,-,-,"-	",-,-,
,2022-03-31T00:00:00Z,0:38,1:00,KL VW,FBFO,FBFO04,TRES?,-,"2/0	",-,-,
,2022-04-05T00:00:00Z,1:15,1:50,KG CP,FBFO,FBFO04,WEBL?,-,"1	",-,-,
,2022-04-14T00:00:00Z,1:05,1:45,KG WY,FBFO,FBFO04,?,-,"1	",-,-,
,2022-04-21T00:00:00Z,3:19,3:50,KG KL,FBFO,FBFO04,?,-,"1	",-,-,-
,2022-06-17T00:00:00Z,,,KL MM,FBFO,FBFO04,HOSP,-,"4	",-,-,nest removed
,2022-06-23T00:00:00Z,,,KG VW WY MZ,FBFO,FBFO04,-,-,"-	",-,-,-
,2022-07-03T00:00:00Z,,,KG AT,FBFO,FBFO04,-,-,"-	",-,-,skipped this week
,2022-07-07T00:00:00Z,,,KG PGG MZ WY,FBFO,FBFO04,-,-,"-	",-,-,old nest attempt
,2022-07-14T00:00:00Z,,,KG YW,FBFO,FBFO04,-,-,"-	",-,-,skipped this week
,2022-03-21T00:00:00Z,3:13,5:00,"KL, CL, EL, IS",FBFO,FBFO05,-,-,"-	",-,-,
,2022-03-31T00:00:00Z,0:38,1:00,KL VW,FBFO,FBFO05,-,-,"-	",-,-,
,2022-04-05T00:00:00Z,1:15,1:50,KG CP,FBFO,FBFO05,-,-,"-	",-,-,
,2022-04-14T00:00:00Z,1:05,1:45,KG WY,FBFO,FBFO05,-,-,"-	",-,-,
,2022-04-21T00:00:00Z,3:19,3:50,KG KL,FBFO,FBFO05,HOWR,-,"3	",-,-,-
