band_number,year,Nestbox,color,date,Species,Sex,blood_num,Age,life_stage,attempt,attempt_id,weight,wing,tail,skull,bill,tarsus,gweight,gwing,gtail,gskull,gbill,gtarsus,pweight,pwing,ptail,pskull,pbill,ptarsus,occasion,ind_id,brood_size,age,blood_num_mother,site,habitat,interval,juliandate,canopy_cover,meanmaxtempI,maxmaxtempI,cumulativeover40I,meanmaxtempO,maxmaxtempO,cumulativeover40O,meanh,meanmaxh,meanminh,meanmintempI,minmintempI,meanmintempO,minmintempO,cort_s1_mother,cort_s2_mother,cort_s1,cort_s2
NA,2021,RRRG1,Blue,2021-06-24,TRES,U,NA,L,nestling,2,2021_RRRG1_2,17.3,34,4,12.9,3.5,12.4,2,3.7142857142857144,0.5714285714285714,-0.12857142857142861,0.2571428571428572,1.0285714285714287,0.08658008658008658,0.0663265306122449,Inf,-0.0013309671694764866,0.021608643457382955,0.0282574568288854,2,2631-20715,4,9,NA,RR,Grassland,2021-06-16 17:00:00 PDT--2021-06-23 17:00:00 PDT,175,NA,37.393125,43.9125,13.333333333333334,41.6113125,48.72349999999999,30.25,42.874995659722224,71.9031875,18.809124999999998,15.9341875,14.63,15.0739375,13.881499999999999,NA,NA,NA,NA
2631-20715,2021,RRRG1,Blue,2021-06-28,TRES,U,NA,L,nestling,2,2021_RRRG1_2,19.5,55,19,25,4.4,13.1,0.5499999999999998,5.25,3.75,3.025,0.2250000000000001,0.17499999999999982,0.007947976878612715,0.03860294117647059,0.234375,0.05862403100775194,0.016071428571428577,0.0035282258064516093,3,2631-20715,4,11,NA,RR,Grassland,2021-06-20 17:00:00 PDT--2021-06-27 17:00:00 PDT,179,NA,35.454187499999996,38.035999999999994,0,39.3421875,42.092999999999996,16.833333333333332,49.52486111111111,77.615375,25.6525625,15.3313125,13.881499999999999,14.2733125,12.454,NA,NA,NA,NA
NA,2021,RRRG1,Pink,2021-06-17,TRES,U,NA,L,nestling,2,2021_RRRG1_2,2.4,7,0,12.8,1.6,5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2631-20713,4,1,NA,RR,Grassland,2021-06-09 17:00:00 PDT--2021-06-16 17:00:00 PDT,168,NA,34.989,43.9125,11,37.807937499999994,48.72349999999999,14.5,44.614657118055554,78.23006249999999,19.39675,13.595125,7.878,12.406437500000001,6.3454999999999995,NA,NA,NA,NA
NA,2021,RRRG1,Pink,2021-06-24,TRES,U,NA,L,nestling,2,2021_RRRG1_2,13.5,28,2,12.6,3.4,12,1.5857142857142856,3,0.2857142857142857,-0.028571428571428723,0.2571428571428571,0.9285714285714286,0.09438775510204081,0.061224489795918366,Inf,-3.188775510204098e-4,0.022959183673469385,0.02411873840445269,2,2631-20713,4,9,NA,RR,Grassland,2021-06-16 17:00:00 PDT--2021-06-23 17:00:00 PDT,175,NA,37.393125,43.9125,13.333333333333334,41.6113125,48.72349999999999,30.25,42.874995659722224,71.9031875,18.809124999999998,15.9341875,14.63,15.0739375,13.881499999999999,NA,NA,NA,NA
2631-20713,2021,RRRG1,Pink,2021-06-28,TRES,U,NA,L,nestling,2,2021_RRRG1_2,17,49,11,24.5,3.9,12,0.875,5.25,2.25,2.975,0.125,0,0.016203703703703703,0.046875,0.28125,0.05902777777777778,0.009191176470588236,0,3,2631-20713,4,11,NA,RR,Grassland,2021-06-20 17:00:00 PDT--2021-06-27 17:00:00 PDT,179,NA,35.454187499999996,38.035999999999994,0,39.3421875,42.092999999999996,16.833333333333332,49.52486111111111,77.615375,25.6525625,15.3313125,13.881499999999999,14.2733125,12.454,NA,NA,NA,NA
NA,2021,RRRG1,Purple,2021-06-17,TRES,U,NA,L,nestling,2,2021_RRRG1_2,2.3,7,0,13.3,1.8,5.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2631-20714,4,1,NA,RR,Grassland,2021-06-09 17:00:00 PDT--2021-06-16 17:00:00 PDT,168,NA,34.989,43.9125,11,37.807937499999994,48.72349999999999,14.5,44.614657118055554,78.23006249999999,19.39675,13.595125,7.878,12.406437500000001,6.3454999999999995,NA,NA,NA,NA
NA,2021,RRRG1,Purple,2021-06-24,TRES,U,NA,L,nestling,2,2021_RRRG1_2,11.7,23,1,11.7,3.5,11.2,1.3428571428571427,2.2857142857142856,0.14285714285714285,-0.2285714285714288,0.24285714285714285,0.8714285714285713,0.0834072759538598,0.04664723032069971,Inf,-0.002455117385299987,0.01927437641723356,0.024409763905562227,2,2631-20714,4,9,NA,RR,Grassland,2021-06-16 17:00:00 PDT--2021-06-23 17:00:00 PDT,175,NA,37.393125,43.9125,13.333333333333334,41.6113125,48.72349999999999,30.25,42.874995659722224,71.9031875,18.809124999999998,15.9341875,14.63,15.0739375,13.881499999999999,NA,NA,NA,NA
2631-20714,2021,RRRG1,Purple,2021-06-28,TRES,U,NA,L,nestling,2,2021_RRRG1_2,18.1,44,12,24.4,4.2,11.7,1.6000000000000005,5.25,2.75,3.175,0.17500000000000004,0.125,0.0341880341880342,0.057065217391304345,0.6875,0.06784188034188034,0.012500000000000002,0.0027901785714285715,3,2631-20714,4,11,NA,RR,Grassland,2021-06-20 17:00:00 PDT--2021-06-27 17:00:00 PDT,179,NA,35.454187499999996,38.035999999999994,0,39.3421875,42.092999999999996,16.833333333333332,49.52486111111111,77.615375,25.6525625,15.3313125,13.881499999999999,14.2733125,12.454,NA,NA,NA,NA
NA,2022,MBNC11,Green2,2022-05-10,TRES,U,NA,L,nestling,1,2022_MBNC11_1,16.3,38,7,22.8,3.4,10.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2631-20731,5,11,B051,MB,Forest,2022-05-02 17:00:00 PDT--2022-05-09 17:00:00 PDT,130,66.622,25.3093125,33.46,0,25.961,34.6025,0,55.27126302083333,76.95962499999999,36.614125,10.2894375,5.19,9.3983125,4.16,3408,24145,NA,NA
2631-20731,2022,MBNC11,Green2,2022-05-12,TRES,U,NA,L,nestling,1,2022_MBNC11_1,17.2,44,10,21.6,3.6,10,0.4499999999999993,3,1.5,-0.5999999999999996,0.10000000000000009,-0.40000000000000036,0.01380368098159507,0.039473684210526314,0.10714285714285714,-0.013157894736842098,0.01470588235294119,-0.018518518518518535,2,2631-20731,5,13,B051,MB,Forest,2022-05-04 17:00:00 PDT--2022-05-11 17:00:00 PDT,132,66.622,23.8849375,27.67,0,24.24625,27.84,0,58.64427083333333,81.0066875,37.942,8.975125,5.19,7.8779375,4.16,3408,24145,NA,NA
