date.x,plate,assay_format,species,blood_num,r1_s1,r1_s2,r2_s1,r2_s2,mean_s1,mean_s2,d_s1,d_s2,blood_num_mother,brood_size,cort_s1_mother,cort_s2_mother,Species,Nestbox,year,habitat,canopy_cover,site,attempt_id,date.y,juliandate,ind_id,band_number,occasion,Age,age,Sex,meanh,meanmaxtempI,condition,weight,wing,tail,skull,bill,tarsus,gweight,gwing,gtail,gskull,gbill,gtarsus
2023-09-06,A03,50,WEBL,B521,6.188,34.79,5.609,35.64,5.8985,35.215,0.5789999999999997,0.8500000000000014,B521,4,5.8985,35.215,WEBL,PCC5,2023,Forest,81.963,PG,2023_PCC5_1,2023-06-29,180,3181-01209,3181-01209,1,AHY,3,F,63.311137152777775,28.8740625,1.375,28.6,97,61,37.4,8.5,20.8,NA,NA,NA,NA,NA,NA
2023-09-06,A03,50,WEBL,B522,3.035,15.13,4.047,16.14,3.541,15.635000000000002,1.0119999999999996,1.0099999999999998,B522,1,1.2974999999999999,NA,WEBL,PCC8,2023,Forest,69.092,PG,2023_PCC8_2,2023-06-29,180,3181-01210,3181-01210,1,AHY,4,F,63.311137152777775,29.322062499999998,1.203883495145631,24.8,97,63,35.5,8.3,20.6,NA,NA,NA,NA,NA,NA
2023-09-06,A03,50,WEBL,B488,1.223,30.74,1.515,29.33,1.369,30.034999999999997,0.2919999999999998,1.4100000000000001,B488,5,3.0505,NA,WEBL,MBNG14,2023,Grassland,25.25,MB,2023_MBNG14_1,2023-06-15,166,2941-94436,2941-94436,1,AHY,6,F,NA,29.998375,1.2047619047619047,25.3,102,62,36.4,8.9,21,NA,NA,NA,NA,NA,NA
2023-09-06,A04,50,WEBL,B568,1.112,NA,3.422,NA,2.2670000000000003,NA,2.31,NA,B568,2,2.2670000000000003,NA,WEBL,SFP1,2023,Forest,55.961,MB,2023_SFP1_1,2023-07-12,193,3181-01214,3181-01214,1,AHY,4,F,63.98017361111111,29.28985714285714,1.3028846153846154,27.1,96,57,35.6,9,20.8,NA,NA,NA,NA,NA,NA
2023-09-06,A04,50,WEBL,B500,NA,40.19,NA,41.34,NA,40.765,NA,1.1500000000000057,B500,5,6.327500000000001,NA,WEBL,PICO11,2023,Orchard,77.01599999999999,PG,2023_PICO11_1,2023-06-20,171,2941-94590,2941-94590,1,AHY,4,F,56.16552083333333,30.0125,1.2315270935960592,25,99,59,35.5,9.2,20.3,NA,NA,NA,NA,NA,NA
2023-09-07,A05,250,WEBL,B522,1.425,NA,1.17,NA,1.2974999999999999,NA,0.2550000000000001,NA,B522,1,1.2974999999999999,NA,WEBL,PCC8,2023,Forest,69.092,PG,2023_PCC8_2,2023-06-29,180,3181-01210,3181-01210,1,AHY,4,F,63.311137152777775,29.322062499999998,1.203883495145631,24.8,97,63,35.5,8.3,20.6,NA,NA,NA,NA,NA,NA
2023-09-07,A05,100,WEBL,B488,2.516,NA,3.585,NA,3.0505,NA,1.069,NA,B488,5,3.0505,NA,WEBL,MBNG14,2023,Grassland,25.25,MB,2023_MBNG14_1,2023-06-15,166,2941-94436,2941-94436,1,AHY,6,F,NA,29.998375,1.2047619047619047,25.3,102,62,36.4,8.9,21,NA,NA,NA,NA,NA,NA
2023-09-07,A05,100,WEBL,B500,6.69,NA,5.965,NA,6.327500000000001,NA,0.7250000000000005,NA,B500,5,6.327500000000001,NA,WEBL,PICO11,2023,Orchard,77.01599999999999,PG,2023_PICO11_1,2023-06-20,171,2941-94590,2941-94590,1,AHY,4,F,56.16552083333333,30.0125,1.2315270935960592,25,99,59,35.5,9.2,20.3,NA,NA,NA,NA,NA,NA
2023-09-12,A06,100,WEBL,B048,4.47,26.69,4.583,27.58,4.5265,27.134999999999998,0.11300000000000043,0.889999999999997,B048,5,4.5265,27.134999999999998,WEBL,MBNR1,2022,Row crop,3.882000000000005,MB,2022_MBNR1_1,2022-05-04,124,2941-94509,2941-94509,1,AHY,NA,F,44.16358072916667,31.8373125,1.2786069651741292,25.7,102,59,35.7,7.7,20.1,NA,NA,NA,NA,NA,NA
2023-09-12,A06,100,WEBL,B049,5.45,10.63,5.369,7.18,5.4094999999999995,8.905000000000001,0.0810000000000004,3.450000000000001,B049,6,5.4094999999999995,8.905000000000001,WEBL,RRC9,2022,Forest,57.011,RR,2022_RRC9_1,2022-05-04,124,2941-94510,2941-94510,1,AHY,NA,F,NA,27.5,1.9069767441860466,41,108,63,36.3,8.2,21.5,NA,NA,NA,NA,NA,NA
2023-09-12,A07,100,WEBL,B079,14.98,51.46,17.57,57.72,16.275,54.59,2.59,6.259999999999998,B079,6,16.275,54.59,WEBL,PCC6,2022,Forest,NA,PG,2022_PCC6_1,2022-05-09,129,2941-18498,2941-18498,1,AHY,11,F,51.43942274305556,24.581249999999997,1.1469194312796207,24.2,101,59,36,7.7,21.1,NA,NA,NA,NA,NA,NA
2023-09-12,A07,100,WEBL,B080,7.028,52.6,7.493,60.92,7.2605,56.760000000000005,0.46500000000000075,8.32,B080,3,7.2605,56.760000000000005,WEBL,RRRR1,2022,Row crop,NA,RR,2022_RRRR1_1,2022-05-09,129,2941-18499,2941-18499,1,AHY,3,F,46.5883645734784,24.714285714285715,1.2871287128712872,26,100,60,36,7.9,20.2,NA,NA,NA,NA,NA,NA
2023-09-12,A07,100,WEBL,B001,6.658,26.61,5.282,28.55,5.970000000000001,27.58,1.3760000000000003,1.9400000000000013,B001,3,5.970000000000001,27.58,WEBL,PICO4,2022,Orchard,85.614,PG,2022_PICO4_1,2022-04-12,102,2941-94401,2941-94401,1,AHY,NA,F,NA,25.907687499999998,1.1218274111675128,22.1,97,59,35.2,8,19.7,NA,NA,NA,NA,NA,NA
2023-09-12,A07,100,WEBL,B002,5.391,26.06,3.77,24.18,4.5805,25.119999999999997,1.621,1.879999999999999,B002,5,4.5805,25.119999999999997,WEBL,PICO1,2022,Orchard,13.245000000000005,PG,2022_PICO1_1,2022-04-12,102,2941-94402,2941-94402,1,AHY,4,F,NA,26.074625,1.1624365482233503,22.9,95,55,35.8,8.4,19.7,NA,NA,NA,NA,NA,NA
2023-09-12,A07,100,WEBL,B003,6.299,20.43,5.21,18.12,5.7545,19.275,1.0890000000000004,2.3099999999999987,B003,3,5.7545,19.275,WEBL,PICO3,2022,Orchard,89.518,PG,2022_PICO3_1,2022-04-12,102,2941-94403,2941-94403,1,AHY,6,F,NA,28.0333125,1.2512315270935959,25.4,100,61,36,8.6,20.3,NA,NA,NA,NA,NA,NA
2023-09-12,A07,100,WEBL,B004,4.152,11.93,4.023,10.19,4.0875,11.059999999999999,0.12900000000000045,1.7400000000000002,B004,4,4.0875,11.059999999999999,WEBL,MBNG22,2022,Grassland,0,MB,2022_MBNG22_1,2022-04-22,112,2941-94404,2941-94404,1,AHY,NA,F,67.81025173611111,NA,1.3649289099526065,28.8,101,56,37.2,9.4,21.1,NA,NA,NA,NA,NA,NA
2023-09-12,A07,100,WEBL,B005,8.897,67.71,7.754,79.64,8.3255,73.675,1.1430000000000007,11.930000000000007,B005,4,8.3255,73.675,WEBL,MBNG21,2022,Grassland,NA,MB,2022_MBNG21_1,2022-04-22,112,2941-94405,2941-94405,1,AHY,NA,F,67.81025173611111,NA,1.1692307692307693,22.8,98,56,34.3,8.1,19.5,NA,NA,NA,NA,NA,NA
2023-09-12,A07,100,WEBL,B006,8.292,NA,6.739,NA,7.515499999999999,NA,1.553,NA,B006,5,NA,20.78,WEBL,MBNC15,2022,Forest,33.021,MB,2022_MBNC15_1,2022-04-22,112,2941-18467,2941-18467,1,AHY,NA,F,67.58025173611111,NA,1.325,26.5,100,54,35.8,7.7,20,NA,NA,NA,NA,NA,NA
