Comments,OK to get fecal sample?,Date of fecal sample,Comments/info from fecal sample visit,Site,Nestbox,Attempt No.,Species,Male ID,Female ID,First Egg Date,First Egg Date Certainty,Clutch Size,Incubation Begins Date,Eggs Hatched,Eggs Failed-to-Hatch,Eggs Abandoned,Eggs Depredated,Eggs Destroyed,Egg Unknown Fate,Brood Size,Hatch Date,HD Observed or Estimated?,Earliest Target Banding Date,Latest Target Banding Date,Date Banded,Nestlings Fledging,Nestlings Perishing,Nestlings Abandoned,Nestlings Depredated,Nestlings Destroyed,BAND numbers of Nestlings,Notes
NA,NA,NA,NA,Mace Blvd,MBNG15,1,TRES,NA,NA,2021-05-02,Estimated,5,2021-05-07,5,0,0,0,0,0,5,2021-05-17,Estimated,2021-05-28,2021-05-30,NA,5,0,0,0,0,NA,NA
NA,NA,NA,NA,Mace Blvd,MBNG17,1,WEBL,NA,NA,2021-05-17,Estimated,5,2021-05-22,0,0,1,0,0,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
NA,NA,NA,NA,Mace Blvd,MBNG20,1,WEBL,NA,NA,2021-05-05,Estimated,2,2021-05-07,0,0,0,0,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
NA,NA,NA,NA,Mace Blvd,MBNG20,2,WEBL,NA,NA,2021-05-17,Estimated,5,2021-05-22,0,0,1,0,0,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
NA,NA,NA,NA,Mace Blvd,MBNG20,3,WEBL,NA,NA,2021-06-19,Estimated,4,2021-06-23,1,1,0,0,0,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
NA,NA,NA,NA,Mace Blvd,MBNG21,1,TRES,NA,NA,2021-04-27,Estimated,6,2021-05-03,6,0,0,0,0,0,6,2021-05-18,Estimated,2021-05-29,2021-05-31,NA,5,1,0,0,0,NA,NA
NA,NA,NA,NA,Mace Blvd,MBNG22,1,WEBL,NA,NA,2021-05-03,Estimated,5,2021-05-08,4,0,0,0,0,1,4,2021-05-20,Estimated,2021-06-02,2021-06-04,NA,4,0,0,0,0,NA,NA
NA,NA,NA,NA,Mace Blvd,MBNG23,1,TRES,NA,NA,2021-05-02,Estimated,5,2021-05-07,5,0,0,0,0,0,5,2021-05-22,Estimated,2021-06-02,2021-06-04,NA,NA,NA,NA,NA,0,NA,NA
NA,NA,NA,NA,Mace Blvd,MBNG24,1,ATFL,NA,NA,2021-06-12,Estimated,4,2021-06-16,4,0,0,0,0,0,4,2021-06-28,Estimated,2021-07-07,2021-07-09,2021-07-07,4,0,0,0,0,"2941-18463, 2941-18464, 2941-18465, 2941-18466",NA
NA,NA,NA,NA,Mace Blvd,MBNG25,1,TRES,NA,NA,2021-04-24,Estimated,6,2021-04-30,5,1,0,0,0,0,5,2021-05-14,Estimated,2021-05-25,2021-05-27,NA,2,3,0,0,0,NA,NA
