Timestamp,date,observer,site,box,action,equipment_name,hobo_position,readout,battery_status,memory_status,equipment_type,card_deployed,card_collected,battery_status,memory_status,
4/22/2021 16:11,4/22/2021,"KL, KG",PIC,PICG3,deploy,PICG3-I,inside,NA,100,0,hobo,,,,,
4/22/2021 16:11,4/22/2021,KL KG,PIC,PICG3,deploy,PICG3-O,outside,NA,100,0,hobo,,,,,
4/22/2021 16:28,4/22/2021,"KL, KG",PIC,PICG6,deploy,PICG6-I,inside,NA,100,0,hobo,,,,,
4/22/2021 16:28,4/22/2021,"KL, KG",PIC,PICG6,deploy,PICG6-O,outside,NA,100,0,hobo,,,,,
4/22/2021 16:45,4/22/2021,KL KG,PIC,PICG8,deploy,PICG8-humidity,outside,NA,100,0,hobo,,,,,
4/23/2021 10:17,4/23/2021,"KL, KG",MBN,MBNG4,deploy,MBNG4-I,inside,NA,100,0,hobo,,,,,
4/23/2021 10:17,4/23/2021,KL KG,MBN,MBNG4,deploy,MBNG4-O,outside,NA,100,0,hobo,,,,,
4/23/2021 10:17,4/23/2021,"KL, KG",MBN,MBNG10,deploy,MBNG10-I,inside,NA,100,0,hobo,,,,,
4/23/2021 10:17,4/23/2021,KL KG,MBN,MBNG10,deploy,MBNG10-O,outside,NA,100,0,hobo,,,,,
4/23/2021 10:18,4/23/2021,KL KG,MBN,MBNG12,deploy,MBNG12-O,outside,NA,100,0,hobo,,,,,
4/23/2021 10:18,4/23/2021,"KL, KG",MBN,MBNG12,deploy,MBNG12-I,inside,NA,100,0,hobo,,,,,
4/23/2021 11:16,4/23/2021,"KL, KG",RRR,RRRG1,deploy,RRRG1-I,inside,NA,100,0,hobo,,,,,
4/23/2021 11:16,4/23/2021,"KL, KG",RRR,RRRG1,deploy,RRRG1-O,outside,NA,100,0,hobo,,,,,
4/23/2021 11:42,4/23/2021,"KL, KG",RRR,RRRG11,deploy,RRRG11-I,inside,NA,100,0,hobo,,,,,
4/23/2021 11:42,4/23/2021,"KL, KG",RRR,RRRG11,deploy,RRRG11-O,outside,NA,100,0,hobo,,,,,
