Comments,OK to get fecal sample?,Date of fecal sample,Comments/info from fecal sample visit,Site,Nestbox,Attempt No. ,Species,Male ID,Female ID,First Egg Date,First Egg Date Certainty,Clutch Size,Incubation Begins Date,Eggs Hatched,Eggs Failed-to-Hatch,Eggs Abandoned,Eggs Depredated,Eggs Destroyed,Egg Unknown Fate,Brood Size,Hatch Date,HD Observed or Estimated?,Earliest Target Banding Date,Latest Target Banding Date,Date Banded,Nestlings Fledging,Nestlings Perishing,Nestlings Abandoned,Nestlings Depredated,Nestlings Destroyed,BAND numbers of Nestlings,Notes,,,
HOBO loggers,,,,Picnic Grounds,PCC1,1,WEBL,OR/WT:?,UB,4/8/2022,confirmed ,5,4/12/2022,2,0,2,1,0,0,2,4/28/2022,estimated,5/12/2022,5/14/2022,-,0,0,0,2,0,,not measured yet; very very cold on 4/28/2022 so not measured,,,
HOBO loggers,,,,Picnic Grounds,PCC1,2,WEBL,RD/GN:?/?,,6/1/2022,confirmed ,4,6/4/2022,4,0,0,0,0,0,4,6/19/2022,estimated,7/3/2022,7/5/2022,7/5/2022,1,0,0,3,0,,,,,
HOBO loggers,,,,Picnic Grounds,PCC10,1,WEBL,Banded,,4/4/2022,estimated,5,4/7/2022,4,0,0,0,0,1,4,4/23/2022,estimated ,5/7/2022,5/9/2022,5/6/2022,4,0,0,0,0,"1941-18483, 1941-18484, 1941-18485, 1941-18486",banded the day before recommended banding time but confirmed via wing chord that nestlings were of appropriate size. Color combo: RD/OR:OR/SV,,,
,,,,Picnic Grounds,PCC10,2,WEBL,,,5/19/2022,observed,1,-,0,0,0,1,0,0,0,-,,,,,,,,,,,,,,
,,,,Picnic Grounds,PCC10,3,WEBL,,,6/9/2022,estimated,4,6/13/2022,4,0,0,0,0,0,4,6/25/2022,estimated,7/8/2022,7/10/2022,7/8/2022,4,0,0,0,0,,,,,
,,,,Picnic Grounds,PCC11,1,WEBL,WH/SV:GN/RD,UB,5/18/2022,estimated,5,5/23/2022,4,0,0,0,0,1,4,5/28/2022,estimated,6/11/2022,6/13/2022,6/13/2022,4,0,0,0,0,,,,,
,,,,Picnic Grounds,PCC13,1,WEBL,,UB,4/28/2022,confirmed,3,5/1/2022,3,0,0,0,0,0,3,5/16/2022,estimated ,5/30/2022,6/1/2022,5/31/2022,3,0,0,0,0,,,,,
,,,,Picnic Grounds,PCC16,1,TRES,,,5/6/2022,confirmed ,4,5/10/2022,0,0,0,4,0,0,0,-,,,,,,,,,,,,,,
,,,,Picnic Grounds,PCC2,1,WEBL,,UB,5/1/2022,estimated,5,5/5/2022,4,1,0,0,0,0,4,5/17/2022,estimated ,5/29/2022,5/31/2022,5/31/2022,4,0,0,0,0,,Unfertilized egg collected to MWFB,,,
,,,,Picnic Grounds,PCC3,1,WEBL,OR/BE:SV/GN,UB,4/3/2022,estimated,5,4/7/2022,5,1,0,0,0,0,4,4/10/2022,estimated,4/24/2022,4/26/2022,4/25/2022,4,0,0,0,0,,,,,
,,,,Picnic Grounds,PCC4,1,WEBL,UB,UB,4/28/2022,estimated,6,5/4/2022,6,0,0,0,0,0,6,5/17/2022,estimated ,5/29/2022,5/31/2022,5/31/2022,6,0,0,0,0,,,,,
