Comments,OK to get fecal sample?,Date of fecal sample,Comments/info from fecal sample visit,Site,Nestbox,Attempt No. ,Species,Male ID,Female ID,First Egg Date,First Egg Date Certainty,Clutch Size,Incubation Begins Date,Eggs Hatched,Eggs Failed-to-Hatch,Eggs Abandoned,Eggs Depredated,Eggs Destroyed,Egg Unknown Fate,Brood Size,Hatch Date,HD Observed or Estimated?,Earliest Target Banding Date,Latest Target Banding Date,Date Banded,Nestlings Fledging,Nestlings Perishing,Nestlings Abandoned,Nestlings Depredated,Nestlings Destroyed,BAND numbers of Nestlings,Notes,,,
HOBO loggers,,,,Mace Blvd,MBNC13,2,WEBL,,,5/28/2022,estimated,5,6/2/2022,5,0,0,0,0,0,5,6/12/2022,Estimated,6/27/2022,6/29/2022,6/28/2022,4,0,0,1,0,,,,,
,,,,Mace Blvd,MBNC14,1,TRES,,,5/20/2022,estimated,3,5/28/2022,0,0,0,3,0,0,0,-,,,,,,,,,,,,,,
HOBO loggers,,,,Mace Blvd,MBNC15,1,WEBL,"XX/XX right, XX/XX left",2941-18467; SV/OR:OR/RD,3/31/2022,estimated,5,4/4/2022,5,0,0,0,0,0,5,4/18/2022,Estimated,5/2/2022,5/4/2022,5/4/2022,5,0,0,0,0,"2941-18470, 2941-18471, 2941-18472, 2941-18473, 2941-18474",Color combo: OR/SV:RD/OR,,,
HOBO loggers,,,,Mace Blvd,MBNC16,1,WEBL,,2941-18468; OR/SV:OR/RD,4/4/2022,estimated,4,4/8/2022,4,0,0,0,0,0,4,4/21/2022,Estimated,5/5/2022,5/7/2022,-,0,0,0,4,0,,,,,
,,,,Mace Blvd,MBNC16,2,HOWR,,,5/26/2022,estimated,6,5/31/2022,5,1,0,0,0,0,5,6/13/2022,Observed,6/22/2022,6/23/2022,6/23/2022,5,0,0,0,0,,,,,
,,,,Mace Blvd,MBNC2,1,TRES,,,4/18/2022,estimated,4,4/23/2022,4,0,0,0,0,0,4,4/28/2022,Observed,5/11/2022,5/13/2022,-,0,0,0,4,0,,"Box found in creek, assumed depredated, could not retrieve",,,
,Done,6/15/2022,"Male and female, released at site of capture safely",Mace Blvd,MBNC2,2,WEBL,"right OR/SV, left ?/?",,5/19/2022,estimated,5,5/29/2022,5,0,0,0,0,0,5,6/4/2022,Estimated,6/18/2022,6/20/2022,6/19/2022,5,0,0,0,0,,,,,
,,,,Mace Blvd,MBNC3,1,TRES,,,5/4/2022,estimated,5,5/8/2022,0,2,0,3,0,0,0,-,,,,,,,,,,,,,,
,,,,Mace Blvd,MBNC3,2,TRES,,,6/4/2022,estimated,4,6/6/2022,4,1,0,0,0,0,3,6/18/2022,Estimated,6/30/2022,7/2/2022,Not banded,3,0,0,0,0,,2 of the eggs are leftover from the first attempt,,,
HOBO loggers,,,,Mace Blvd,MBNC4,1,WEBL,,"XX/XX right, XX/XX left",5/11/2022,estimated,5,5/15/2022,4,0,0,0,0,1,4,5/29/2022,Estimated,6/12/2022,6/14/2022,-,0,0,0,4,0,,,,,
,,,,Mace Blvd,MBNC5,1,TRES,,,4/11/2022,estimated,5,4/15/2022,4,1,0,0,0,0,4,4/29/2022,Observed,5/9/2022,5/11/2022,-,0,0,0,4,0,,,,,
,,,,Mace Blvd,MBNC6,1,WEBL,,,4/15/2022,confirmed,1,,0,0,0,1,0,0,0,-,,,,,,,,,,,,,,
,,,,Mace Blvd,MBNC6,2,WEBL,,,4/12/2022,confirmed,6,5/3/2022,0,3,0,3,0,0,0,-,,,,,,,,,,,"HOWR nest built on top of WEBL nest that had (maybe abandoned?) eggs, could not find eggs in WEBL nest below",,,
,,,,Mace Blvd,MBNC7,1,WEBL,"left PK/GN, right SV/OR",right BE/SV,4/26/2022,estimated,4,4/29/2022,0,0,0,4,0,0,0,-,,,,,,,,,,,,,,
HOBO loggers,,,,Mace Blvd,MBNC8,1,TRES,,,5/10/2022,estimated,5,5/14/2022,5,0,0,0,0,0,5,5/27/2022,Estimated,6/8/2022,6/10/2022,6/9/2022,5,0,0,0,0,,,,,
,,,,Mace Blvd,MBNC9,1,WEBL,,,4/23/2022,estimated,5,4/29/2022,0,1,0,4,0,0,0,-,,,,,,,,,,,,,,
,Done,6/15/2022,"Male only, released at site of capture safely",Mace Blvd,MBNC9,2,WEBL,"right BE/PK, left SV/WH","XX/XX right, XX/XX left",5/21/2022,estimated,5,6/3/2022,5,0,0,0,0,0,5,6/9/2022,Estimated,6/18/2022,6/20/2022,Not banded,5,0,0,0,0,,,,,
,,,,Mace Blvd,MBNE1,1,TRES,,,4/21/2022,estimated,6,4/27/2022,0,0,0,6,0,0,0,-,,,,,,,,,,,,,,
,,,,Mace Blvd,MBNE3,1,WEBL,"XX/XX right, XX/XX left","XX/XX right, XX/XX left",4/6/2022,estimated,5,4/8/2022,5,0,0,0,0,0,5,4/26/2022,Estimated,5/7/2022,5/9/2022,Not banded,5,0,0,0,0,,,,,
,,,,Mace Blvd,MBNE3,2,WEBL,"XX/XX right, XX/XX left","XX/XX right, XX/XX left",6/1/2022,estimated,6,6/10/2022,6,0,0,0,0,0,6,6/20/2022,Estimated,7/2/2022,7/4/2022,-,0,1,0,5,0,,,,,
,,,,Mace Blvd,MBNE3,3,WEBL,,unbanded,,,5,,5,0,0,0,0,0,5,7/25/2022,Estimated,8/8/2022,8/10/2022,8/8/2022,,,,,,,,,,
,,,,Mace Blvd,MBNC10,2,TRES,,,6/12/2022,estimated,4,6/16/2022,1,0,0,3,0,0,1,6/28/2022,Observed,7/10/2022,7/12/2022,-,0,1,0,0,0,,,,,
,,,,Mace Blvd,MBNC7,2,WEBL,,,6/12/2022,estimated,4,6/16/2022,4,0,0,0,0,0,4,6/28/2022,Observed,7/12/2022,7/14/2022,7/12/2022,1,0,0,3,0,,,,,
,,,,Mace Blvd,MBNC5,2,WEBL,,,6/13/2022,observed,5,6/18/2022,0,0,1,4,0,0,0,,,,,,,,,,,,,,,
,,,,Mace Blvd,MBNC0.5,3,WEBL,"OR/RD left, BE/SV right","XX/XX right, XX/XX left",6/30/2022,estimated,4,7/7/2022,0,0,2,2,0,0,0,,,,,,,,,,,,,,,
,,,,Mace Blvd,MBNE3,3,WEBL,"XX/XX right, XX/XX left","XX/XX right, XX/XX left",7/9/2022,estimated,5,7/13/2022,5,0,0,0,0,0,0,7/25/2022,Estimated,8/7/2022,8/9/2022,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
