Comments,Site,Nestbox,Attempt No. ,Species,Male ID,Female ID,First Egg Date,First Egg Date Certainty,Clutch Size,Incubation Begins Date,Eggs Hatched,Eggs Failed-to-Hatch,Eggs Abandoned,Eggs Depredated,Eggs Destroyed,Egg Unknown Fate,Brood Size,Hatch Date,HD Observed or Estimated?,Earliest Target Banding Date,Latest Target Banding Date,Date Banded,Nestlings Fledging,Nestlings Perishing,Nestlings Abandoned,Nestlings Depredated,Nestlings Destroyed,BAND numbers of Nestlings,Notes
,Picnic Grounds,PCT9 ,2,WEBL,,,6/18/2021,Estimated,4,6/21/2021,2,2,0,0,0,0,2,7/2/2021,Estimated ,7/17/2021,7/19/2021,7/20/2021,,,,,,,
,Russell Ranch,RRC11,2,TRES,Unbanded,Unbanded,5/25/2021,estimated,6,5/27/2021,3,0,0,0,0,3,3,6/8/2021,observed,6/20/2021,6/22/2021,6/21/2021,,,,,,,
,Russell Ranch,RRC12,1,TRES,,,4/27/2021,Estimated,3,4/29/2021,0,0,1,2,0,0,0,,,,,,,,,,,,
,Russell Ranch,RRC12,2,TRES,unbanded,unbanded SY,5/16/2021,estimated,6,5/21/2021,5,0,0,0,0,1,5,,,,,6/17/2021,,2,,,,,orange and purple found dead in nest 7/1/21
HOBO loggers,Russell Ranch,RRC13,1,WEBL,"BE/GN (L); OR,SV (R)",,5/9/2021,estimated,5,5/13/2021,5,0,0,0,0,0,5,5/24/2021,estimated ,6/7/2021,6/9/2021,6/7/2021,,,,,,,"5/27 WC 9, 9 11, 6.5"
HOBO loggers,Russell Ranch,RRC14,1,TRES,UB,UB. SY?,4/21/2021,estimated,6,4/26/2021,6,0,0,0,0,0,6,5/10/2021,Estimated,5/22/2021,5/24/2021,5/24/2021,2,4,0,0,0,,2 missing 5/20/21 and 2 more missing on banding day
,Russell Ranch,RRC14,2,WEBL,,,6/23/2021,estimated,2,6/24/2021,1,0,0,0,0,0,0,7/6/2021,estimated,7/18/2021,7/20/2021,,,,,,,,
,Russell Ranch,RRC15,1,WEBL,unbanded,unbanded,4/18/2021,estimated,5,4/22/2021,5,0,0,0,0,0,5,5/5/2021,Estimated,5/18/2021,5/21/2021,5/20/2021,5,0,0,0,0,,
HOBO loggers,Russell Ranch,RRC15,2,TRES,,,6/7/2021,estimated,4,6/10/2021,0,4,0,0,0,1,0,,,,,,,,,,,,
,Russell Ranch,RRC5,1,TRES,,,4/28/2021,estimated,3,,0,0,0,0,1,2,0,,,,,,,,,,,,egg found broken in nest; maybe due to poor nest cup 
HOBO loggers,Russell Ranch,RRC6,1,WEBL,,,4/7/2021,Estimated,1,,0,0,0,0,0,1,,,,,,,,,,,,,"Egg found broken on 4/8/21, not seen before that"
HOBO loggers,Russell Ranch,RRC8,1,WEBL,,,4/28/2021,estimated,2 so far,5/2/2021,0,0,0,0,0,2,0,,,,,,,,,,,,
HOBO loggers,Russell Ranch,RRC9,1,TRES,,,4/27/2021,estimated,6,5/3/2021,0,0,0,0,0,0,6,5/15/2021,Estimated,5/27/2021,5/29/2021,5/28/2021,,,,,,,
,Russell Ranch,RRE10,1,WEBL,"GN/GN right, SV/BE left",unbanded,4/18/2021,estimated,5,4/22/2021,4,1,0,0,0,0,4,5/4/2021,Estimated,5/17/2021,5/20/2021,5/19/2021,4,0,0,0,0,,0
,Russell Ranch,RRE10,2,WEBL,"GN/GN right, SV/BE left",unbanded,6/22/2021,estimated,3,6/24/2021,3,0,0,0,0,0,3,7/6/2021,estimated,7/20/2021,7/22/2021,,,,,,,,
,Russell Ranch,RRE12,1,WEBL,,,5/3/2021,estimated,5,5/7/2021,5,0,0,0,0,0,0,5/18/2021,Estimated,5/31/2021,6/2/2021,6/3/2021,,,,,,,"5/27 WC: 29, 29, 30, 35"
,Russell Ranch,RRE15,1,TRES,1 banded M or F,1 unbanded M or F,4/19/2021,estimated,6,4/24/2021,5,1,0,0,0,0,5,5/8/2021,Estimated,5/19/2021,5/21/2021,"supposed to be banded 5/20/21, all died",0,1,0,5,0,,"dead chick with blowfly larvae 2 hole in neck, hot pink toes; WC: 19; also no eyes or dried up? used DE; based on WC, predation event dated to 5/15"
,Russell Ranch,RRE16,1,WEBL,"OR/SV right, BE/GN left",UB,5/13/2021,confirmed,5,5/17/2021,5,0,0,0,0,0,5,5/30/2021,estimated,6/13/2021,6/15/2021,6/15/2021,5,0,0,0,0,,"6/6 WC 17, 19, 20"
,Russell Ranch,RRE18,1,WEBL,,,5/18/2021,estimated,4,5/21/2021,0,0,2,0,1,1,0,,,,,,,,,,,,
,Russell Ranch,RRE5,1,WEBL,"?/WH right, SV/BE left",,4/20/2021,estimated,6,4/25/2021,4,0,0,0,0,2,4,5/9/2021,Estimated,5/21/2021,5/23/2021,5/21/2021,4,0,0,0,0,,"5/13 WC: 14, 15.5, 15"
HOBO loggers,Russell Ranch,RRE6,1,ATFL,,,5/18/2021,estimated,4,5/22/2021,0,2,2,0,1,1,0,,,,,,,,,,,,
,Russell Ranch,RRE7,1,TRES,,,5/23/2021,estimated,5,5/27/2021,0,0,0,0,0,0,0,,,,,,,,,,,,
,Russell Ranch,RRE9,1,WEBL,,,4/21/2021,estimated,5,4/25/2021,4,0,0,0,0,1,4,5/9/2021,Estimated,5/23/2021,5/25/2021,5/24/2021,2,2,0,0,0,,2 missing on banding day
,Russell Ranch,RRE9,2,WEBL,,,6/11/2021,confirmed ,4,6/18/2021,3,0,0,0,0,0,0,6/30/2021,estimated,7/13/2021,7/15/2021,7/13/2021,,,,,,,
