Comments,Site,Nestbox,Attempt No. ,Species,Male ID,Female ID,First Egg Date,First Egg Date Certainty,Clutch Size,Incubation Begins Date,Eggs Hatched,Eggs Failed-to-Hatch,Eggs Abandoned,Eggs Depredated,Eggs Destroyed,Egg Unknown Fate,Brood Size,Hatch Date,HD Observed or Estimated?,Earliest Target Banding Date,Latest Target Banding Date,Date Banded,Nestlings Fledging,Nestlings Perishing,Nestlings Abandoned,Nestlings Depredated,Nestlings Destroyed,BAND numbers of Nestlings,Notes
HOBO loggers,Barbour Ranch,BRO9,1,TRES,,,5/29/2021,estimated ,4,5/31/2021,4,0,0,0,0,0,4,6/5/2021,Estimated,6/17/2021,6/19/2021,6/20/2021,,2,,,,,"Lots of mites on banding day, used DE; two dead nestlings found 7/1: 2631-20886 & 7"
,Mace Blvd,MBNC0.5,1,WEBL,,,4/21/2021,Confirmed,1,,0,0,0,1,0,0,0,,,,,,,,,,,,"Egg gone, assumed depredated"
,Mace Blvd,MBNC0.5,2,WEBL,"BE/SV right, OR/RD left?","SV/BE right, RD/OR left?",5/8/2021,Estimated,5,5/12/2021,5,0,0,0,0,0,5,5/21/2021,Estimated,6/4/2021,6/6/2021,6/4/2021,5,0,0,0,0,,
,Mace Blvd,MBNC0.5,3,WEBL,,,6/22/2021,Confirmed,4,,,,,,,,,,,,,,,,,,,,
,Mace Blvd,MBNC1,1,WEBL,,,4/23/2021,Estimated,6,4/28/2021,6,0,0,0,0,0,6,5/10/2021,Estimated,5/23/2021,5/25/2021,5/25/2021,6,0,0,0,0,,
,Mace Blvd,MBNC1,2,TRES,,,6/13/2021,Estimated,4,6/16/2021,4,0,0,0,0,0,4,6/27/2021,Estimated,7/9/2021,7/11/2021,,,,,,,,
,Mace Blvd,MBNC10,1,WEBL,,,4/10/2021,Estimated,4,4/13/2021,4,0,0,0,0,0,4,4/26/2021,Estimated,5/10/2021,5/12/2021,5/12/2021,4,0,0,0,0,,
HOBO loggers,Mace Blvd,MBNC10,2,TRES,,SY,5/29/2021,Estimated,5,6/2/2021,5,0,0,0,0,0,5,6/14/2021,Estimated,6/26/2021,6/28/2021,6/29/2021,1,4,0,0,0,,"3 chicks found dead in nest on banding day. Mites, blow fly larvae on living chicks; chick with pink nail polish found dead 7/15/21"
HOBO loggers,Mace Blvd,MBNC11,1,TRES,unbanded,unbanded,4/13/2021,Confirmed,6,4/18/2021,5,1,0,0,0,0,5,5/4/2021,Estimated,5/15/2021,5/17/2021,5/17/2021,5,0,0,0,0,,
,Mace Blvd,MBNC11,2,WEBL,,,6/15/2021,Confirmed,4,6/23/2021,3,,,,,1,3,6/30/2021,Estimated,7/14/2021,7/16/2021,,,,,,,,
,Mace Blvd,MBNC12,1,WEBL,unbanded,,5/10/2021,Estimated,3,5/12/2021,3,0,0,0,0,0,3,5/20/2021,Estimated,6/3/2021,6/5/2021,6/4/2021,3,0,0,0,0,,
,Mace Blvd,MBNC12,2,WEBL,,,6/30/2021,Confirmed,5,7/7/2021,,,,,,,,,,,,,,,,,,,
,Mace Blvd,MBNC13,1,WEBL,unbanded M or F,,4/21/2021,Confirmed,1 so far,,0,0,0,0,0,1,0,,,,,,,,,,,,
